experiment,slice,metric,k,value
two_tower_neural:listnet,active,recall,10,0.5885922330097088
two_tower_neural:listnet,active,ndcg,20,0.4678473238191918
two_tower_neural:listnet,active,mrr,20,0.4404713727885262
two_tower_neural:listnet,active,map,20,0.32695719611039614
two_tower_neural:listnet,active,recall,20,0.7560679611650486
two_tower_neural:ranknet,random,ndcg,5,0.3629090519660119
two_tower_neural:ranknet,random,mrr,5,0.41467661691542285
two_tower_neural:ranknet,random,map,5,0.284093421779989
two_tower_neural:ranknet,random,recall,5,0.44859038142620233
two_tower_neural:ranknet,random,ndcg,10,0.43391011372063876
two_tower_neural:ranknet,random,mrr,10,0.4355300218484298
two_tower_neural:ranknet,random,map,10,0.3214397588775698
two_tower_neural:ranknet,random,recall,10,0.6276948590381426
two_tower_neural:ranknet,random,ndcg,20,0.4821946020900414
two_tower_neural:ranknet,random,mrr,20,0.4427982263477773
two_tower_neural:ranknet,random,map,20,0.33960656126019323
two_tower_neural:ranknet,random,recall,20,0.7827529021558872
two_tower_neural:ranknet,hard,ndcg,5,0.19506776351205976
two_tower_neural:ranknet,hard,mrr,5,0.23485351022664458
two_tower_neural:ranknet,hard,map,5,0.13887506909894967
two_tower_neural:ranknet,hard,recall,5,0.2537313432835821
two_tower_neural:ranknet,hard,ndcg,10,0.24956528741093192
two_tower_neural:ranknet,hard,mrr,10,0.25522519676748534
two_tower_neural:ranknet,hard,map,10,0.1649951301692595
two_tower_neural:ranknet,hard,recall,10,0.3922056384742952
two_tower_neural:ranknet,hard,ndcg,20,0.31285845550850694
two_tower_neural:ranknet,hard,mrr,20,0.27057581131907643
two_tower_neural:ranknet,hard,map,20,0.18547338639678798
two_tower_neural:ranknet,hard,recall,20,0.5970149253731343
two_tower_neural:ranknet,cold,ndcg,5,0.4438820435988075
two_tower_neural:ranknet,cold,mrr,5,0.4919720767888307
two_tower_neural:ranknet,cold,map,5,0.36273996509598605
two_tower_neural:ranknet,cold,recall,5,0.5366492146596858
two_tower_neural:ranknet,cold,ndcg,10,0.5150012491651612
two_tower_neural:ranknet,cold,mrr,10,0.5096463890966508
two_tower_neural:ranknet,cold,map,10,0.40130993933349957
two_tower_neural:ranknet,cold,recall,10,0.7172774869109948
two_tower_neural:ranknet,cold,ndcg,20,0.5513406390970741
two_tower_neural:ranknet,cold,mrr,20,0.5141739772536621
two_tower_neural:ranknet,cold,map,20,0.4158442233918787
two_tower_neural:ranknet,cold,recall,20,0.8324607329842932
two_tower_neural:ranknet,active,ndcg,5,0.3253706019614878
two_tower_neural:ranknet,active,mrr,5,0.37884304207119734
two_tower_neural:ranknet,active,map,5,0.24763349514563107
two_tower_neural:ranknet,active,recall,5,0.4077669902912621
two_tower_neural:ranknet,active,ndcg,10,0.39631689316261975
two_tower_neural:ranknet,active,mrr,10,0.4011702496532593
two_tower_neural:ranknet,active,map,10,0.284412563569117
two_tower_neural:ranknet,active,recall,10,0.5861650485436893
two_tower_neural:ranknet,active,ndcg,20,0.4501390363901791
two_tower_neural:ranknet,active,mrr,20,0.4097089826025735
two_tower_neural:ranknet,active,map,20,0.30426337323312547
two_tower_neural:ranknet,active,recall,20,0.7597087378640777
